,accelerate,brakes,speed,Cluster
82239,1.0,2.0,0.0,0
48690,0.0,0.0,2.0,0
82240,1.0,2.0,2.0,0
48695,0.0,2.0,0.0,0
48688,0.0,1.0,1.0,0
48686,1.0,1.0,0.0,0
82243,1.0,1.0,0.0,0
48684,0.0,1.0,2.0,0
48683,0.0,0.0,1.0,0
48682,0.0,0.0,1.0,0
48681,0.0,1.0,0.0,0
48687,0.0,1.0,1.0,0
48680,0.0,2.0,0.0,0
48696,1.0,1.0,1.0,0
48698,0.0,1.0,1.0,0
48712,0.0,1.0,1.0,0
48711,1.0,2.0,0.0,0
82233,0.0,0.0,0.0,0
48709,0.0,1.0,0.0,0
82235,0.0,0.0,0.0,0
82236,0.0,1.0,1.0,0
48697,1.0,0.0,0.0,0
48706,0.0,1.0,0.0,0
48704,0.0,1.0,1.0,0
82238,0.0,1.0,0.0,0
48702,0.0,1.0,0.0,0
48701,0.0,1.0,0.0,0
48700,1.0,0.0,0.0,0
48699,0.0,1.0,1.0,0
48705,0.0,2.0,1.0,0
48855,0.0,0.0,1.0,0
48679,1.0,2.0,1.0,0
48677,0.0,0.0,1.0,0
48658,0.0,1.0,1.0,0
48657,1.0,2.0,0.0,0
48656,0.0,1.0,1.0,0
48655,1.0,2.0,1.0,0
82253,0.0,1.0,1.0,0
82254,0.0,1.0,0.0,0
48659,1.0,0.0,1.0,0
48652,1.0,2.0,1.0,0
48650,1.0,0.0,0.0,0
82255,1.0,1.0,2.0,0
48648,0.0,1.0,1.0,0
82256,1.0,1.0,0.0,0
48646,0.0,0.0,1.0,0
48645,0.0,2.0,1.0,0
48651,1.0,0.0,0.0,0
82244,0.0,2.0,1.0,0
82250,0.0,2.0,0.0,0
82249,1.0,1.0,1.0,0
48676,1.0,0.0,0.0,0
48675,1.0,1.0,0.0,0
48674,0.0,1.0,1.0,0
82245,0.0,1.0,0.0,0
48672,0.0,1.0,1.0,0
48671,1.0,1.0,1.0,0
48661,1.0,2.0,1.0,0
48670,1.0,2.0,1.0,0
48668,0.0,2.0,1.0,0
82246,0.0,1.0,1.0,0
48666,0.0,1.0,0.0,0
48665,0.0,0.0,0.0,0
82247,0.0,1.0,0.0,0
82248,0.0,1.0,1.0,0
48669,1.0,0.0,0.0,0
48856,0.0,0.0,0.0,0
48857,0.0,1.0,1.0,0
48858,1.0,1.0,2.0,0
49038,1.0,2.0,0.0,0
49039,0.0,2.0,0.0,0
49040,1.0,2.0,1.0,0
49041,1.0,2.0,1.0,0
49042,1.0,2.0,0.0,0
82094,1.0,0.0,1.0,0
49044,1.0,1.0,1.0,0
49045,0.0,1.0,1.0,0
82093,0.0,0.0,1.0,0
49047,0.0,0.0,2.0,0
82092,0.0,2.0,0.0,0
49049,0.0,1.0,1.0,0
49050,0.0,1.0,2.0,0
49051,0.0,1.0,0.0,0
49052,0.0,2.0,1.0,0
49053,0.0,2.0,2.0,0
82091,0.0,1.0,1.0,0
82087,0.0,1.0,0.0,0
49067,1.0,2.0,1.0,0
82088,1.0,1.0,1.0,0
49065,0.0,1.0,0.0,0
49064,0.0,2.0,1.0,0
49063,0.0,2.0,1.0,0
49037,0.0,2.0,0.0,0
82089,1.0,0.0,1.0,0
49060,0.0,1.0,1.0,0
49059,1.0,1.0,1.0,0
49058,0.0,1.0,0.0,0
82090,0.0,1.0,1.0,0
49056,1.0,2.0,0.0,0
49055,1.0,0.0,0.0,0
49061,1.0,2.0,1.0,0
82096,0.0,1.0,1.0,0
82097,1.0,2.0,1.0,0
82100,2.0,2.0,2.0,0
82108,1.0,1.0,1.0,0
49014,0.0,0.0,1.0,0
82109,0.0,1.0,2.0,0
49012,1.0,1.0,0.0,0
49011,0.0,2.0,1.0,0
82110,0.0,2.0,0.0,0
49016,0.0,0.0,1.0,0
49009,1.0,2.0,1.0,0
82111,0.0,1.0,0.0,0
82112,1.0,1.0,0.0,0
49005,1.0,2.0,1.0,0
82114,0.0,2.0,1.0,0
49003,0.0,2.0,0.0,0
49002,1.0,1.0,0.0,0
49008,0.0,2.0,1.0,0
49069,0.0,1.0,0.0,0
82107,1.0,1.0,1.0,0
49019,0.0,1.0,0.0,0
49033,1.0,2.0,0.0,0
82101,1.0,1.0,1.0,0
49031,1.0,2.0,0.0,0
49030,0.0,0.0,2.0,0
49029,0.0,2.0,2.0,0
49028,0.0,1.0,0.0,0
49018,0.0,2.0,0.0,0
82104,0.0,1.0,1.0,0
49025,0.0,1.0,0.0,0
49024,0.0,0.0,0.0,0
49023,0.0,0.0,1.0,0
49022,1.0,1.0,0.0,0
49021,0.0,1.0,1.0,0
82106,0.0,2.0,1.0,0
49026,1.0,2.0,0.0,0
49070,1.0,0.0,1.0,0
49071,0.0,2.0,2.0,0
82086,0.0,1.0,1.0,0
49122,0.0,1.0,0.0,0
49121,0.0,2.0,0.0,0
82064,1.0,1.0,1.0,0
82066,0.0,1.0,0.0,0
49118,0.0,1.0,1.0,0
82067,1.0,1.0,1.0,0
82063,0.0,2.0,0.0,0
49116,1.0,0.0,1.0,0
49114,1.0,1.0,0.0,0
49113,0.0,1.0,1.0,0
49112,1.0,2.0,1.0,0
49111,0.0,0.0,1.0,0
82068,0.0,1.0,1.0,0
82069,0.0,2.0,2.0,0
49115,0.0,0.0,0.0,0
49108,1.0,0.0,1.0,0
49124,0.0,1.0,0.0,0
82062,0.0,2.0,0.0,0
49140,1.0,0.0,0.0,0
49139,1.0,2.0,2.0,0
49138,1.0,0.0,0.0,0
49137,1.0,2.0,1.0,0
82057,0.0,1.0,0.0,0
49135,0.0,1.0,0.0,0
49125,1.0,0.0,0.0,0
49134,1.0,0.0,1.0,0
82058,1.0,1.0,1.0,0
82060,0.0,1.0,1.0,0
82061,1.0,1.0,0.0,0
49129,0.0,0.0,1.0,0
49128,0.0,1.0,0.0,0
49127,0.0,2.0,1.0,0
49133,1.0,1.0,1.0,0
49001,1.0,1.0,0.0,0
49107,0.0,1.0,0.0,0
49105,0.0,1.0,1.0,0
82081,0.0,2.0,1.0,0
49085,1.0,1.0,0.0,0
82082,1.0,0.0,1.0,0
82083,0.0,1.0,0.0,0
49082,0.0,1.0,0.0,0
49081,1.0,1.0,1.0,0
82080,0.0,0.0,0.0,0
49080,1.0,2.0,1.0,0
82085,0.0,0.0,3.0,0
49077,0.0,1.0,1.0,0
49076,0.0,0.0,0.0,0
49075,0.0,1.0,1.0,0
49074,1.0,1.0,0.0,0
49073,0.0,1.0,1.0,0
82084,0.0,2.0,0.0,0
82071,1.0,2.0,0.0,0
49088,0.0,1.0,1.0,0
49090,1.0,1.0,1.0,0
49104,1.0,2.0,0.0,0
82073,0.0,1.0,0.0,0
49102,0.0,1.0,0.0,0
82074,1.0,1.0,0.0,0
49100,0.0,0.0,0.0,0
49099,1.0,2.0,0.0,0
82079,1.0,1.0,1.0,0
49098,0.0,0.0,2.0,0
49096,0.0,2.0,1.0,0
82075,1.0,2.0,0.0,0
49094,1.0,1.0,0.0,0
82077,0.0,2.0,0.0,0
49092,1.0,2.0,0.0,0
82078,0.0,0.0,1.0,0
49097,1.0,0.0,2.0,0
48573,1.0,2.0,1.0,0
82115,0.0,1.0,0.0,0
82116,0.0,0.0,0.0,0
48895,1.0,1.0,0.0,0
48896,0.0,1.0,1.0,0
48897,1.0,0.0,0.0,0
48898,1.0,1.0,0.0,0
48899,1.0,0.0,0.0,0
82154,1.0,1.0,0.0,0
48901,0.0,2.0,0.0,0
48902,0.0,1.0,0.0,0
48903,0.0,0.0,0.0,0
82153,0.0,0.0,1.0,0
48905,1.0,1.0,0.0,0
48906,0.0,0.0,0.0,0
48907,1.0,1.0,0.0,0
48908,0.0,1.0,0.0,0
48909,0.0,0.0,0.0,0
48910,0.0,0.0,1.0,0
48911,1.0,1.0,0.0,0
48925,0.0,1.0,1.0,0
48924,1.0,1.0,1.0,0
48923,0.0,1.0,1.0,0
48922,0.0,1.0,0.0,0
48921,0.0,1.0,1.0,0
48920,1.0,0.0,1.0,0
48894,0.0,1.0,1.0,0
82146,0.0,2.0,1.0,0
48917,0.0,1.0,1.0,0
82150,0.0,1.0,1.0,0
82151,0.0,1.0,1.0,0
48914,1.0,0.0,1.0,0
48913,1.0,1.0,2.0,0
82152,0.0,2.0,1.0,0
48918,1.0,2.0,1.0,0
48893,0.0,0.0,1.0,0
48892,0.0,2.0,1.0,0
48891,0.0,2.0,0.0,0
48872,1.0,1.0,1.0,0
82166,0.0,0.0,1.0,0
48870,0.0,2.0,1.0,0
48869,0.0,0.0,1.0,0
82167,0.0,0.0,1.0,0
82171,0.0,0.0,1.0,0
82164,0.0,1.0,0.0,0
82172,1.0,1.0,0.0,0
48864,1.0,2.0,1.0,0
48863,0.0,1.0,2.0,0
48862,1.0,1.0,1.0,0
82173,0.0,1.0,1.0,0
82174,0.0,2.0,1.0,0
48859,0.0,1.0,1.0,0
48865,1.0,1.0,1.0,0
82145,1.0,2.0,1.0,0
48874,0.0,1.0,3.0,0
48876,0.0,0.0,1.0,0
48890,0.0,0.0,1.0,0
48889,0.0,0.0,1.0,0
48888,1.0,1.0,1.0,0
82155,0.0,1.0,0.0,0
82156,0.0,1.0,0.0,0
48885,0.0,1.0,1.0,0
48875,1.0,1.0,2.0,0
82157,0.0,1.0,1.0,0
82159,1.0,2.0,0.0,0
82161,0.0,0.0,0.0,0
82162,1.0,2.0,1.0,0
48879,1.0,0.0,1.0,0
48878,0.0,0.0,0.0,0
82163,1.0,1.0,2.0,0
82158,1.0,0.0,1.0,0
48927,1.0,2.0,1.0,0
48928,1.0,0.0,0.0,0
48929,0.0,1.0,1.0,0
82121,0.0,1.0,2.0,0
48978,2.0,1.0,1.0,0
48977,1.0,0.0,1.0,0
82122,0.0,2.0,1.0,0
82123,0.0,2.0,0.0,0
48974,0.0,2.0,1.0,0
82120,0.0,2.0,0.0,0
48973,0.0,1.0,1.0,0
48971,0.0,1.0,1.0,0
48970,1.0,1.0,0.0,0
82127,0.0,1.0,1.0,0
48968,0.0,1.0,1.0,0
48967,1.0,0.0,1.0,0
82129,1.0,2.0,1.0,0
48972,1.0,2.0,0.0,0
48965,0.0,2.0,1.0,0
48981,0.0,1.0,0.0,0
48983,1.0,1.0,0.0,0
48997,0.0,2.0,0.0,0
48996,1.0,2.0,1.0,0
48995,1.0,1.0,1.0,0
48994,1.0,1.0,1.0,0
48993,1.0,2.0,0.0,0
48992,0.0,0.0,1.0,0
82119,0.0,1.0,2.0,0
48991,0.0,1.0,0.0,0
82118,0.0,2.0,0.0,0
48988,0.0,1.0,1.0,0
48987,1.0,1.0,1.0,0
48986,1.0,1.0,0.0,0
48985,1.0,1.0,0.0,0
48984,1.0,2.0,0.0,0
48990,1.0,2.0,0.0,0
48999,0.0,1.0,1.0,0
48964,1.0,2.0,1.0,0
48962,1.0,1.0,1.0,0
82142,0.0,1.0,2.0,0
82143,1.0,1.0,0.0,0
48941,1.0,0.0,0.0,0
48940,0.0,0.0,1.0,0
48939,0.0,1.0,0.0,0
48938,1.0,1.0,2.0,0
48944,0.0,2.0,1.0,0
48937,1.0,1.0,1.0,0
48935,0.0,1.0,1.0,0
48934,2.0,2.0,0.0,0
48933,0.0,0.0,0.0,0
48932,0.0,1.0,1.0,0
82144,0.0,1.0,1.0,0
48930,1.0,1.0,1.0,0
48936,0.0,1.0,1.0,0
48963,1.0,1.0,1.0,0
48945,0.0,2.0,0.0,0
48947,0.0,0.0,2.0,0
48961,1.0,0.0,1.0,0
82130,0.0,0.0,0.0,0
48959,0.0,0.0,0.0,0
48958,0.0,0.0,0.0,0
82131,0.0,2.0,2.0,0
82134,1.0,2.0,2.0,0
48946,0.0,2.0,1.0,0
82136,1.0,1.0,1.0,0
48953,1.0,1.0,0.0,0
82140,0.0,0.0,1.0,0
48951,0.0,1.0,0.0,0
48950,0.0,1.0,0.0,0
48949,0.0,1.0,1.0,0
48948,1.0,0.0,0.0,0
48954,0.0,2.0,1.0,0
82054,0.0,0.0,1.0,0
82278,1.0,2.0,1.0,0
48570,0.0,1.0,1.0,0
48182,0.0,0.0,1.0,0
48183,0.0,1.0,2.0,0
82401,1.0,1.0,0.0,0
48185,0.0,1.0,2.0,0
48186,0.0,0.0,0.0,0
48187,0.0,2.0,1.0,0
48188,0.0,0.0,0.0,0
48189,2.0,1.0,1.0,0
48190,1.0,1.0,0.0,0
48191,1.0,1.0,1.0,0
48192,1.0,0.0,2.0,0
82400,1.0,1.0,0.0,0
48194,0.0,1.0,0.0,0
48195,0.0,1.0,0.0,0
48196,2.0,0.0,1.0,0
82398,1.0,0.0,0.0,0
82397,1.0,2.0,1.0,0
48212,0.0,0.0,0.0,0
82395,0.0,0.0,1.0,0
82396,0.0,2.0,0.0,0
48209,0.0,0.0,0.0,0
48208,1.0,2.0,1.0,0
48207,0.0,2.0,0.0,0
48181,1.0,1.0,0.0,0
48206,0.0,0.0,1.0,0
48204,0.0,2.0,1.0,0
48203,0.0,2.0,0.0,0
48202,1.0,1.0,0.0,0
48201,0.0,1.0,0.0,0
48200,1.0,2.0,1.0,0
48199,1.0,0.0,0.0,0
48205,1.0,0.0,2.0,0
48180,0.0,0.0,0.0,0
48179,1.0,1.0,1.0,0
48178,0.0,0.0,2.0,0
82407,1.0,2.0,1.0,0
48158,0.0,2.0,1.0,0
48157,1.0,0.0,1.0,0
48156,0.0,1.0,1.0,0
48155,0.0,2.0,1.0,0
82408,0.0,1.0,2.0,0
48160,1.0,2.0,1.0,0
48153,0.0,0.0,0.0,0
82410,1.0,0.0,0.0,0
48150,0.0,2.0,0.0,0
48149,1.0,0.0,0.0,0
48148,0.0,0.0,0.0,0
48147,1.0,0.0,1.0,0
48146,1.0,1.0,0.0,0
48152,0.0,0.0,0.0,0
48213,1.0,2.0,0.0,0
48161,0.0,1.0,1.0,0
48163,0.0,1.0,0.0,0
48177,0.0,1.0,0.0,0
48176,0.0,2.0,1.0,0
82402,0.0,2.0,1.0,0
82404,1.0,1.0,2.0,0
48173,1.0,0.0,2.0,0
82405,0.0,1.0,1.0,0
48162,0.0,1.0,2.0,0
82406,1.0,2.0,1.0,0
48169,0.0,1.0,1.0,0
48168,0.0,1.0,0.0,0
48167,1.0,2.0,0.0,0
48166,0.0,1.0,1.0,0
48165,0.0,1.0,1.0,0
48164,1.0,0.0,1.0,0
48170,0.0,2.0,1.0,0
48145,0.0,1.0,1.0,0
48214,0.0,1.0,1.0,0
48216,1.0,1.0,0.0,0
48253,0.0,2.0,0.0,0
48254,1.0,2.0,3.0,0
48255,0.0,2.0,0.0,0
48256,1.0,2.0,1.0,0
82381,0.0,2.0,0.0,0
48258,0.0,0.0,1.0,0
48259,0.0,0.0,0.0,0
82379,1.0,0.0,0.0,0
48261,2.0,2.0,0.0,0
82377,1.0,0.0,1.0,0
82376,0.0,0.0,1.0,0
48264,0.0,1.0,0.0,0
48265,0.0,2.0,0.0,0
48266,1.0,2.0,1.0,0
82374,1.0,1.0,0.0,0
48268,1.0,1.0,0.0,0
48269,0.0,2.0,0.0,0
48283,0.0,1.0,0.0,0
82371,0.0,2.0,1.0,0
48281,0.0,0.0,1.0,0
48280,1.0,1.0,1.0,0
48279,1.0,1.0,1.0,0
48278,0.0,1.0,1.0,0
82383,1.0,2.0,1.0,0
82372,1.0,2.0,1.0,0
48275,1.0,2.0,0.0,0
48274,1.0,2.0,0.0,0
48273,0.0,0.0,1.0,0
48272,0.0,1.0,1.0,0
82373,0.0,1.0,0.0,0
48270,0.0,0.0,0.0,0
48276,0.0,0.0,0.0,0
48251,1.0,2.0,0.0,0
48250,1.0,0.0,2.0,0
82384,0.0,2.0,1.0,0
48230,1.0,1.0,0.0,0
48229,1.0,1.0,1.0,0
48228,0.0,1.0,1.0,0
48227,1.0,1.0,1.0,0
48226,0.0,1.0,0.0,0
48225,1.0,1.0,0.0,0
48231,1.0,1.0,0.0,0
48224,0.0,1.0,0.0,0
48222,1.0,1.0,2.0,0
48221,0.0,2.0,1.0,0
48220,0.0,2.0,1.0,0
48219,1.0,2.0,1.0,0
48218,1.0,1.0,1.0,0
82393,0.0,1.0,1.0,0
48223,0.0,0.0,0.0,0
48215,1.0,1.0,0.0,0
82390,0.0,1.0,2.0,0
48234,0.0,1.0,1.0,0
82385,0.0,0.0,1.0,0
82386,0.0,2.0,0.0,0
48246,0.0,0.0,2.0,0
48245,0.0,1.0,1.0,0
48244,1.0,2.0,1.0,0
48243,0.0,0.0,0.0,0
48233,1.0,1.0,1.0,0
48242,0.0,2.0,1.0,0
48240,1.0,1.0,0.0,0
48239,0.0,1.0,0.0,0
48238,0.0,2.0,1.0,0
48237,1.0,0.0,0.0,0
82388,1.0,1.0,1.0,0
48235,0.0,2.0,2.0,0
82387,1.0,1.0,1.0,0
48144,0.0,0.0,0.0,0
82411,0.0,2.0,2.0,0
48142,1.0,1.0,0.0,0
82436,0.0,2.0,1.0,0
82435,1.0,2.0,0.0,0
48041,1.0,0.0,1.0,0
82434,0.0,2.0,1.0,0
48043,1.0,0.0,1.0,0
48044,1.0,2.0,0.0,0
48045,3.0,1.0,1.0,0
48046,1.0,2.0,0.0,0
48047,0.0,2.0,1.0,0
48048,0.0,1.0,1.0,0
82433,1.0,0.0,0.0,0
48050,0.0,2.0,1.0,0
48051,1.0,2.0,0.0,0
48052,0.0,2.0,0.0,0
48053,0.0,0.0,1.0,0
48054,0.0,0.0,0.0,0
48055,0.0,1.0,1.0,0
48069,0.0,2.0,0.0,0
48068,0.0,1.0,0.0,0
82430,1.0,1.0,1.0,0
48066,1.0,1.0,0.0,0
48065,0.0,1.0,1.0,0
48064,1.0,2.0,0.0,0
82438,1.0,2.0,0.0,0
48063,0.0,1.0,1.0,0
48061,0.0,1.0,0.0,0
48060,1.0,1.0,2.0,0
48059,0.0,1.0,0.0,0
48058,1.0,1.0,0.0,0
82431,1.0,1.0,1.0,0
82432,1.0,1.0,1.0,0
48062,0.0,0.0,0.0,0
48037,1.0,2.0,1.0,0
48036,0.0,1.0,1.0,0
48035,0.0,0.0,0.0,0
48016,1.0,2.0,0.0,0
48015,1.0,2.0,0.0,0
48014,0.0,2.0,0.0,0
48013,0.0,1.0,1.0,0
48012,1.0,1.0,1.0,0
82447,1.0,0.0,0.0,0
48017,1.0,1.0,1.0,0
48010,0.0,2.0,1.0,0
48008,0.0,2.0,0.0,0
48007,1.0,0.0,2.0,0
48006,2.0,0.0,1.0,0
48005,0.0,1.0,0.0,0
82448,1.0,0.0,1.0,0
48003,0.0,0.0,1.0,0
48009,0.0,1.0,1.0,0
82429,1.0,1.0,0.0,0
82446,0.0,0.0,2.0,0
48020,0.0,1.0,0.0,0
48034,0.0,2.0,0.0,0
82440,1.0,2.0,0.0,0
48032,0.0,0.0,1.0,0
48031,1.0,2.0,0.0,0
82443,0.0,2.0,0.0,0
48029,0.0,1.0,1.0,0
48019,1.0,1.0,1.0,0
48028,0.0,2.0,0.0,0
48026,1.0,2.0,1.0,0
48025,0.0,0.0,0.0,0
48024,0.0,1.0,1.0,0
82444,1.0,1.0,1.0,0
48022,0.0,2.0,0.0,0
82445,0.0,2.0,1.0,0
48027,0.0,0.0,1.0,0
48071,0.0,0.0,0.0,0
82428,0.0,1.0,0.0,0
48073,1.0,0.0,0.0,0
48123,0.0,1.0,0.0,0
48122,1.0,1.0,0.0,0
48121,1.0,1.0,0.0,0
48120,1.0,2.0,0.0,0
48119,0.0,2.0,1.0,0
48118,0.0,1.0,1.0,0
48124,0.0,1.0,0.0,0
48117,1.0,2.0,1.0,0
48115,1.0,1.0,1.0,0
48114,1.0,0.0,0.0,0
48113,0.0,2.0,1.0,0
48112,0.0,1.0,1.0,0
48111,1.0,2.0,0.0,0
48110,0.0,0.0,1.0,0
48116,1.0,1.0,1.0,0
48109,1.0,1.0,0.0,0
48125,0.0,0.0,0.0,0
48127,1.0,1.0,1.0,0
48141,2.0,2.0,1.0,0
48140,1.0,1.0,0.0,0
48139,0.0,0.0,0.0,0
48138,1.0,2.0,1.0,0
48137,0.0,2.0,1.0,0
48136,0.0,1.0,2.0,0
82412,1.0,1.0,1.0,0
48135,0.0,0.0,0.0,0
48133,2.0,1.0,2.0,0
48132,0.0,1.0,1.0,0
48131,0.0,1.0,1.0,0
48130,0.0,0.0,0.0,0
48129,0.0,0.0,1.0,0
48128,1.0,2.0,0.0,0
48134,0.0,0.0,1.0,0
48284,1.0,1.0,1.0,0
48108,0.0,1.0,1.0,0
48106,1.0,2.0,1.0,0
